family_id,verdict,reason
gsm_train_00772,PASS,
gsm_train_03326,REJECT,删除后最终问题退化为世界知识问答;蓝鲸舌重≈3吨(如大象重)是常见常识可绕过
gsm_train_03402,PASS,
gsm_train_02598,PASS,
gsm_train_06838,PASS,
gsm_train_00125,PASS,
gsm_train_00765,PASS,
gsm_train_00942,PASS,
gsm_train_02437,PASS,
gsm_train_04286,PASS,
gsm_train_02237,PASS,
gsm_train_05168,PASS,
gsm_train_05635,PASS,
gsm_train_01040,PASS,
gsm_train_00143,PASS,
gsm_train_02894,PASS,
gsm_train_06177,PASS,
gsm_train_06487,PASS,
gsm_train_04854,PASS,
gsm_train_02620,PASS,
gsm_train_02931,PASS,
gsm_train_03131,PASS,
gsm_train_05140,PASS,
gsm_train_04350,PASS,
gsm_train_03489,REJECT,"病句 ""2 an unspecified number of contracts"";原句 ""2 132-page..."" 只删页数留下悬空的 2"
gsm_train_05500,PASS,
gsm_train_03814,PASS,
gsm_train_00714,PASS,
gsm_train_04543,PASS,
gsm_train_07188,PASS,
gsm_train_06839,PASS,
gsm_train_02388,PASS,
gsm_train_03474,PASS,
gsm_train_00922,PASS,
gsm_train_06915,PASS,
gsm_train_06872,PASS,
gsm_train_06122,PASS,
gsm_train_02336,PASS,
gsm_train_04272,PASS,
gsm_train_00507,PASS,
gsm_train_03717,REJECT,"病句 ""an unspecified number of strawberries plants"";strawberry 被错误复数化致名词堆叠"
gsm_train_07099,PASS,
gsm_train_05016,PASS,
gsm_train_02715,PASS,
gsm_train_05336,PASS,
gsm_train_04513,PASS,
gsm_train_00145,PASS,
gsm_train_03413,PASS,
gsm_train_04252,PASS,
gsm_train_01788,PASS,
gsm_train_02628,REJECT,"病句 ""each of his an unspecified number of grandparents"";且祖父母=4 可由世界知识绕过"
gsm_train_01210,PASS,
gsm_train_01642,PASS,
gsm_train_06930,PASS,
gsm_train_03754,PASS,
gsm_train_02113,PASS,
gsm_train_05630,PASS,
gsm_train_05553,PASS,
gsm_train_02087,PASS,
gsm_train_00519,PASS,
gsm_train_06548,PASS,
gsm_train_02082,PASS,
gsm_train_04136,PASS,
gsm_train_06885,PASS,
gsm_train_00396,REJECT,"病句 ""an unspecified number of bloods pressure pills"";blood 被错误复数化"
gsm_train_05775,PASS,
gsm_train_06869,PASS,
gsm_train_04473,PASS,
gsm_train_01400,PASS,
gsm_train_00871,PASS,
gsm_train_03568,PASS,
gsm_train_02952,REJECT,"病句 ""another an unspecified number of comes"";双限定词且动词 comes 被当名词捕获"
gsm_train_06662,PASS,
gsm_train_01228,PASS,
gsm_train_06161,PASS,
gsm_train_04437,PASS,
gsm_train_03193,PASS,
gsm_train_03636,PASS,
gsm_train_00215,PASS,
gsm_train_00512,PASS,
gsm_train_01043,PASS,
gsm_train_00909,PASS,
gsm_train_05756,PASS,
gsm_train_00688,PASS,
gsm_train_05004,PASS,
gsm_train_04502,PASS,
gsm_train_06030,PASS,
gsm_train_04236,PASS,
gsm_train_02845,PASS,
gsm_train_03291,PASS,
gsm_train_02879,PASS,
gsm_train_02995,PASS,
gsm_train_07025,PASS,
gsm_train_06067,PASS,
gsm_train_01591,PASS,
gsm_train_02938,REJECT,"病句""his an unspecified amount a year salary""双限定词"
gsm_train_04565,PASS,
gsm_train_06377,PASS,
gsm_train_05960,PASS,
gsm_train_03471,PASS,
gsm_train_04806,PASS,
gsm_train_06337,PASS,
gsm_train_02669,PASS,
gsm_train_00384,PASS,
gsm_train_05047,PASS,
gsm_train_00435,PASS,
gsm_train_06160,PASS,
gsm_train_02560,PASS,
gsm_train_01656,PASS,
gsm_train_01494,PASS,
gsm_train_06540,PASS,
gsm_train_00330,REJECT,approximately an unspecified percentage语义矛盾不自然(approximately修饰未指明量)
gsm_train_05286,PASS,
gsm_train_07022,PASS,
gsm_train_02594,PASS,
gsm_train_03385,PASS,
gsm_train_04511,PASS,
gsm_train_00769,PASS,
gsm_train_04280,PASS,
gsm_train_02692,REJECT,"病句""his an unspecified number of quizzes""双限定词;且""first four+fifth quiz""已隐含总数5可绕过"
gsm_train_06615,PASS,
gsm_train_01719,PASS,
gsm_train_07291,REJECT,"病句""an unspecified number of ms roll""单位缩写m被误当名词复数化+词序破坏"
gsm_train_05082,PASS,
gsm_train_07040,PASS,
gsm_train_06813,REJECT,"世界知识可绕过:世界第一高楼实际高度(约2717英尺)为著名可查事实,同三月天数类"
gsm_train_02550,PASS,
gsm_train_00686,PASS,
gsm_train_04677,PASS,
gsm_train_00943,PASS,
gsm_train_00276,PASS,
gsm_train_02905,PASS,
gsm_train_06623,PASS,
gsm_train_04847,PASS,
gsm_train_02585,PASS,
gsm_train_00122,PASS,
gsm_train_06236,PASS,
gsm_train_03485,PASS,
gsm_train_02947,PASS,
gsm_train_00843,PASS,
gsm_train_00382,PASS,
gsm_train_02254,REJECT,世界知识可绕过:标准扑克牌一副52张(等同三月天数类)
gsm_train_05697,PASS,
gsm_train_00326,PASS,
gsm_train_06306,PASS,
gsm_train_02970,REJECT,"病句""an unspecified number of females baby bunnies""复数定语不合语法"
gsm_train_03500,PASS,
gsm_train_02785,PASS,
gsm_train_06090,PASS,
gsm_train_01107,PASS,
gsm_train_05832,PASS,
gsm_train_06641,PASS,
gsm_train_03084,PASS,
gsm_train_02433,PASS,
gsm_train_05092,PASS,
gsm_train_01255,PASS,
gsm_train_04141,REJECT,"病句""an unspecified number of lasts week""(""last""被误当名词捕获复数化)"
gsm_train_03449,PASS,
gsm_train_02259,PASS,
gsm_train_04083,PASS,
gsm_train_01939,PASS,
gsm_train_07112,PASS,
gsm_train_03338,PASS,
gsm_train_05618,PASS,
gsm_train_01623,PASS,
gsm_train_00503,PASS,
gsm_train_01515,PASS,
gsm_train_01331,PASS,
gsm_train_04781,PASS,
gsm_train_03042,REJECT,世界知识可绕过:盐湖城至拉斯维加斯实际里程≈420英里为常识可查事实、可恢复被删值
gsm_train_04741,PASS,
gsm_train_06202,PASS,
gsm_train_00534,PASS,
gsm_train_02636,PASS,
gsm_train_04475,PASS,
gsm_train_04362,PASS,
gsm_train_06350,PASS,
gsm_train_04489,PASS,
gsm_train_03861,PASS,
gsm_train_03117,PASS,
gsm_train_05233,PASS,
gsm_train_07195,PASS,
gsm_train_00973,PASS,
gsm_train_01150,PASS,
gsm_train_02840,PASS,
gsm_train_07046,PASS,
gsm_train_03834,PASS,
gsm_train_06290,PASS,
gsm_train_03099,PASS,
gsm_train_00598,PASS,
gsm_train_01212,PASS,
gsm_train_05008,PASS,
gsm_train_02016,PASS,
gsm_train_03145,PASS,
gsm_train_07311,PASS,
gsm_train_00561,PASS,
gsm_train_06834,PASS,
gsm_train_02606,PASS,
gsm_train_01395,PASS,
gsm_train_00221,PASS,
gsm_train_01745,PASS,
gsm_train_03507,PASS,
gsm_train_05594,PASS,
gsm_train_02629,PASS,
gsm_train_04463,PASS,
gsm_train_00876,PASS,
gsm_train_04853,PASS,
gsm_train_02257,PASS,
gsm_train_04418,PASS,
gsm_train_00575,PASS,
gsm_train_05856,PASS,
gsm_train_05383,PASS,
gsm_train_03984,PASS,
gsm_train_05377,PASS,
gsm_train_00408,PASS,
gsm_train_05814,PASS,
gsm_train_00763,REJECT,另一合理解读可绕过:18码丝带均分用于礼物且每件2码→9件礼物剩0码
gsm_train_00715,PASS,
gsm_train_03497,PASS,
gsm_train_05497,PASS,
gsm_train_04743,PASS,
gsm_train_02457,PASS,
gsm_train_00848,PASS,
gsm_train_03062,PASS,
gsm_train_05167,PASS,
gsm_train_05811,PASS,
gsm_train_06576,PASS,
gsm_train_03840,PASS,
gsm_train_01616,PASS,
gsm_train_04143,PASS,
gsm_train_04588,PASS,
gsm_train_03502,PASS,
gsm_train_04857,PASS,
gsm_train_06288,PASS,
gsm_train_01618,PASS,
gsm_train_00835,PASS,
gsm_train_06708,PASS,
gsm_train_05581,PASS,
gsm_train_02526,PASS,
gsm_train_03509,PASS,
gsm_train_00177,REJECT,"病句:定语价格替换产生 ""sold his an unspecified amount car"" 限定词冲突"
gsm_train_02588,PASS,
gsm_train_02918,PASS,
gsm_train_02649,PASS,
gsm_train_04817,PASS,
gsm_train_00496,REJECT,"病句:""an unspecified number of matchsticks houses"" 复数名词定语不自然"
gsm_train_05954,PASS,
gsm_train_06798,PASS,
gsm_train_02238,PASS,
gsm_train_07144,PASS,
gsm_train_01813,PASS,
gsm_train_05042,PASS,
gsm_train_04275,PASS,
gsm_train_04991,REJECT,删的变量非必要:问的是百分比、按比例推理(50%−60%×67.5%)/40%≈23.75%可绕过总人数
gsm_train_05031,PASS,
gsm_train_03368,PASS,
gsm_train_01177,PASS,
gsm_train_07185,PASS,
gsm_train_02592,PASS,
gsm_train_05799,PASS,
gsm_train_04937,PASS,
gsm_train_03181,PASS,
gsm_train_00041,PASS,
gsm_train_05146,PASS,
gsm_train_04428,PASS,
gsm_train_02502,PASS,
gsm_train_05565,PASS,
gsm_train_00846,PASS,
gsm_train_04311,PASS,
gsm_train_02699,PASS,
gsm_train_02100,PASS,
gsm_train_04315,PASS,
gsm_train_05275,PASS,
gsm_train_01756,PASS,
gsm_train_04533,PASS,
gsm_train_01204,REJECT,"病句""an unspecified number of solars systems""——定语solar被误当名词复数化"
gsm_train_07259,PASS,
gsm_train_02060,PASS,
gsm_train_01123,PASS,
gsm_train_03532,PASS,
gsm_train_00003,PASS,
gsm_train_05166,PASS,
gsm_train_02299,PASS,
gsm_train_06789,PASS,
gsm_train_04815,PASS,
gsm_train_06480,PASS,
gsm_train_05786,PASS,
gsm_train_07241,PASS,
gsm_train_04839,PASS,
gsm_train_06997,PASS,
gsm_train_06846,PASS,
gsm_train_04964,REJECT,"病句""an unspecified number of befores""——介词before被误当名词复数化"
gsm_train_03504,PASS,
gsm_train_00566,PASS,
gsm_train_00984,PASS,
gsm_train_03410,PASS,
gsm_train_06070,PASS,
gsm_train_06730,PASS,
gsm_train_07459,PASS,
gsm_train_05993,PASS,
gsm_train_01955,PASS,
gsm_train_02047,PASS,
gsm_train_00180,PASS,
gsm_train_00367,PASS,
gsm_train_05288,REJECT,"病句""an unspecified number of personalizeds backpacks""——形容词personalized被误当名词复数化"
gsm_train_04283,PASS,
gsm_train_04852,PASS,
gsm_train_00868,PASS,
gsm_train_06342,PASS,
gsm_train_01880,PASS,
gsm_train_01348,PASS,
gsm_train_02892,PASS,
gsm_train_00185,PASS,
gsm_train_03739,PASS,
gsm_train_04709,REJECT,"病句""an unspecified number of squares feet""——square feet被误拆并复数化"
gsm_train_06021,REJECT,"病句""another an unspecified number of minutes""——another与an双限定词叠加"
gsm_train_05252,PASS,
gsm_train_05024,PASS,
gsm_train_01514,PASS,
gsm_train_04630,PASS,
gsm_train_02498,REJECT,"替换扭曲语义:原句每盒20个被改成“未知盒数”,$4 的计价对象漂移;从严 REJECT"
gsm_train_00361,PASS,
gsm_train_04042,PASS,
gsm_train_07124,PASS,
gsm_train_04681,PASS,
gsm_train_06420,PASS,
gsm_train_02786,PASS,
gsm_train_05936,PASS,
gsm_train_05642,PASS,
gsm_train_02820,PASS,
gsm_train_00088,PASS,
gsm_train_02282,PASS,
gsm_train_00478,PASS,
gsm_train_00316,PASS,
gsm_train_04765,PASS,
gsm_train_01323,PASS,
gsm_train_06909,PASS,
gsm_train_06684,PASS,
gsm_train_03654,PASS,
gsm_train_04629,PASS,
gsm_train_04038,PASS,
gsm_train_02173,PASS,
gsm_train_05645,PASS,
gsm_train_04548,PASS,
gsm_train_02765,PASS,
